id,uyr,x,y,z
0,0.00065682767514449,0,0,0
1,0.00023979858731726,0.0005,0,0
2,-0.00013678538408117,0.0005,0.0005,0
3,0.00052619092221531,0,0.0005,0
4,-0.00026709167917305,0.001,0,0
5,-0.00072314196284414,0.001,0.0005,0
6,-0.00072375879459891,0.0015,0,0
7,-0.0011847936441631,0.0015,0.0005,0
8,-0.0010840177716247,0.002,0,0
9,-0.0014709873848907,0.002,0.0005,0
10,-0.0013081811533478,0.0025,0,0
11,-0.00155883843144,0.0025,0.0005,0
12,-0.0013789116334254,0.003,0,0
13,-0.0014522177972827,0.003,0.0005,0
14,-0.0013013256704852,0.0035,0,0
15,-0.0011748455479897,0.0035,0.0005,0
16,-0.0010939187865256,0.004,0,0
17,-0.00077341813551762,0.004,0.0005,0
18,-0.00079244904683788,0.0045,0,0
19,-0.00030131800390946,0.0045,0.0005,0
20,-0.00043542936741126,0.005,0,0
21,0.00018082584957189,0.005,0.0005,0
22,-6.6751430905347e-05,0.0055,0,0
23,0.00062151851207885,0.0055,0.0005,0
24,0.0002778825787474,0.006,0,0
25,0.00097715519702343,0.006,0.0005,0
26,0.00056757391189174,0.0065,0,0
27,0.0012230612001389,0.0065,0.0005,0
28,0.00078546598652132,0.007,0,0
29,0.0013487747637664,0.007,0.0005,0
30,0.00092309031340713,0.0075,0,0
31,0.0013621291806171,0.0075,0.0005,0
32,0.00098476118746301,0.008,0,0
33,0.0012812938540647,0.008,0.0005,0
34,0.00098019544085456,0.0085,0,0
35,0.0011340327591824,0.0085,0.0005,0
36,0.00092595184302421,0.009,0,0
37,0.00094915059821368,0.009,0.0005,0
38,0.00083818542352736,0.0095,0,0
39,0.00075489717740713,0.0095,0.0005,0
40,0.00073378581323402,0.01,0,0
41,0.00057266575866759,0.01,0.0005,0
42,0.00062488444808232,0.0105,0,0
43,0.00041767863723446,0.0105,0.0005,0
44,0.00052135517516778,0.011,0,0
45,0.00029600467070233,0.011,0.0005,0
46,0.00042741305214351,0.0115,0,0
47,0.00020816584801745,0.0115,0.0005,0
48,0.00034543282716072,0.012,0,0
49,0.0001484094115824,0.012,0.0005,0
50,0.00027386535019137,0.0125,0,0
51,0.0001096633926997,0.0125,0.0005,0
52,0.00021120612742344,0.013,0,0
53,8.3148002446395e-05,0.013,0.0005,0
54,0.00015431319973735,0.0135,0,0
55,6.2530831602458e-05,0.0135,0.0005,0
56,0.0001013515463192,0.014,0,0
57,4.2722211647581e-05,0.014,0.0005,0
58,5.0229786121666e-05,0.0145,0,0
59,2.1964091980761e-05,0.0145,0.0005,0
60,-1.8008395877938e-16,0.015,0,0
61,-1.4158170296369e-16,0.015,0.0005,0
62,-5.0229786121594e-05,0.0155,0,0
63,-2.1964091981205e-05,0.0155,0.0005,0
64,-0.00010135154631934,0.016,0,0
65,-4.2722211647923e-05,0.016,0.0005,0
66,-0.0001543131997374,0.0165,0,0
67,-6.2530831602827e-05,0.0165,0.0005,0
68,-0.00021120612742349,0.017,0,0
69,-8.3148002446544e-05,0.017,0.0005,0
70,-0.00027386535019123,0.0175,0,0
71,-0.00010966339269951,0.0175,0.0005,0
72,-0.00034543282716024,0.018,0,0
73,-0.00014840941158163,0.018,0.0005,0
74,-0.0004274130521426,0.0185,0,0
75,-0.00020816584801609,0.0185,0.0005,0
76,-0.00052135517516649,0.019,0,0
77,-0.00029600467070047,0.019,0.0005,0
78,-0.00062488444808097,0.0195,0,0
79,-0.00041767863723248,0.0195,0.0005,0
80,-0.00073378581323285,0.02,0,0
81,-0.00057266575866575,0.02,0.0005,0
82,-0.00083818542352652,0.0205,0,0
83,-0.00075489717740575,0.0205,0.0005,0
84,-0.00092595184302385,0.021,0,0
85,-0.00094915059821291,0.021,0.0005,0
86,-0.00098019544085486,0.0215,0,0
87,-0.0011340327591825,0.0215,0.0005,0
88,-0.00098476118746366,0.022,0,0
89,-0.0012812938540654,0.022,0.0005,0
90,-0.00092309031340828,0.0225,0,0
91,-0.0013621291806185,0.0225,0.0005,0
92,-0.00078546598652285,0.023,0,0
93,-0.0013487747637683,0.023,0.0005,0
94,-0.00056757391189288,0.0235,0,0
95,-0.0012230612001403,0.0235,0.0005,0
96,-0.00027788257874796,0.024,0,0
97,-0.00097715519702434,0.024,0.0005,0
98,6.6751430905095e-05,0.0245,0,0
99,-0.00062151851207934,0.0245,0.0005,0
100,0.0004354293674112,0.025,0,0
101,-0.00018082584957222,0.025,0.0005,0
102,0.00079244904683799,0.0255,0,0
103,0.0003013180039094,0.0255,0.0005,0
104,0.0010939187865258,0.026,0,0
105,0.00077341813551779,0.026,0.0005,0
106,0.0013013256704855,0.0265,0,0
107,0.0011748455479899,0.0265,0.0005,0
108,0.0013789116334257,0.027,0,0
109,0.001452217797283,0.027,0.0005,0
110,0.0013081811533478,0.0275,0,0
111,0.0015588384314402,0.0275,0.0005,0
112,0.0010840177716246,0.028,0,0
113,0.0014709873848908,0.028,0.0005,0
114,0.00072375879459876,0.0285,0,0
115,0.0011847936441632,0.0285,0.0005,0
116,0.00026709167917273,0.029,0,0
117,0.00072314196284389,0.029,0.0005,0
118,-0.00023979858731766,0.0295,0,0
119,0.00013678538408069,0.0295,0.0005,0
120,-0.00065682767514429,0.03,0,0
121,-0.00052619092221552,0.03,0.0005,0
122,-0.00061537588497382,0.0005,0.001,0
123,0.00014910707388522,0,0.001,0
124,-0.0011608023847836,0.001,0.001,0
125,-0.0014955233537099,0.0015,0.001,0
126,-0.0015970764692369,0.002,0.001,0
127,-0.0014737255126427,0.0025,0.001,0
128,-0.001149553960313,0.003,0.001,0
129,-0.00067983806712484,0.0035,0.001,0
130,-0.00012518921492478,0.004,0.001,0
131,0.00043948947677048,0.0045,0.001,0
132,0.00095210389627383,0.005,0.001,0
133,0.0013555933231748,0.0055,0.001,0
134,0.0016185683542475,0.006,0.001,0
135,0.0017248683633079,0.0065,0.001,0
136,0.0016845327385709,0.007,0.001,0
137,0.0015202243091321,0.0075,0.001,0
138,0.0012702461119128,0.008,0.001,0
139,0.0009744865217346,0.0085,0.001,0
140,0.00067435748948456,0.009,0.001,0
141,0.00040172358609097,0.0095,0.001,0
142,0.00018062795619538,0.01,0.001,0
143,2.0924675949877e-05,0.0105,0.001,0
144,-7.6048692894974e-05,0.011,0.001,0
145,-0.00012014378660956,0.0115,0.001,0
146,-0.00012396247708062,0.012,0.001,0
147,-0.00010443706289295,0.0125,0.001,0
148,-7.4605018257472e-05,0.013,0.001,0
149,-4.6143956126522e-05,0.0135,0.001,0
150,-2.3911322148233e-05,0.014,0.001,0
151,-9.6029925820381e-06,0.0145,0.001,0
152,-3.2183020468945e-16,0.015,0.001,0
153,9.6029925811675e-06,0.0155,0.001,0
154,2.3911322147344e-05,0.016,0.001,0
155,4.6143956125879e-05,0.0165,0.001,0
156,7.4605018257166e-05,0.017,0.001,0
157,0.00010443706289316,0.0175,0.001,0
158,0.00012396247708153,0.018,0.001,0
159,0.00012014378661121,0.0185,0.001,0
160,7.6048692897171e-05,0.019,0.001,0
161,-2.0924675947459e-05,0.0195,0.001,0
162,-0.00018062795619312,0.02,0.001,0
163,-0.00040172358608916,0.0205,0.001,0
164,-0.00067435748948329,0.021,0.001,0
165,-0.00097448652173434,0.0215,0.001,0
166,-0.0012702461119134,0.022,0.001,0
167,-0.0015202243091336,0.0225,0.001,0
168,-0.0016845327385726,0.023,0.001,0
169,-0.0017248683633094,0.0235,0.001,0
170,-0.0016185683542486,0.024,0.001,0
171,-0.0013555933231758,0.0245,0.001,0
172,-0.00095210389627444,0.025,0.001,0
173,-0.00043948947677086,0.0255,0.001,0
174,0.00012518921492473,0.026,0.001,0
175,0.00067983806712488,0.0265,0.001,0
176,0.0011495539603132,0.027,0.001,0
177,0.0014737255126431,0.0275,0.001,0
178,0.0015970764692374,0.028,0.001,0
179,0.0014955233537104,0.0285,0.001,0
180,0.0011608023847837,0.029,0.001,0
181,0.00061537588497352,0.0295,0.001,0
182,-0.00014910707388567,0.03,0.001,0
183,-0.0010524339508896,0.0005,0.0015,0
184,-0.00035366482657051,0,0.0015,0
185,-0.0014470894460515,0.001,0.0015,0
186,-0.0015531454802443,0.0015,0.0015,0
187,-0.0014075834318728,0.002,0.0015,0
188,-0.0010404845890774,0.0025,0.0015,0
189,-0.00051789203137214,0.003,0.0015,0
190,9.5121313774083e-05,0.0035,0.0015,0
191,0.00071274968423155,0.004,0.0015,0
192,0.0012672135713793,0.0045,0.0015,0
193,0.0016912511057017,0.005,0.0015,0
194,0.0019498373914656,0.0055,0.0015,0
195,0.0020215503022854,0.006,0.0015,0
196,0.0019185561862537,0.0065,0.0015,0
197,0.0016658790082662,0.007,0.0015,0
198,0.0013104889650003,0.0075,0.0015,0
199,0.00090096819225821,0.008,0.0015,0
200,0.00049069820719952,0.0085,0.0015,0
201,0.00012154276162586,0.009,0.0015,0
202,-0.00017281504273635,0.0095,0.0015,0
203,-0.0003771551494818,0.01,0.0015,0
204,-0.00048736607146821,0.0105,0.0015,0
205,-0.00051565741437704,0.011,0.0015,0
206,-0.00047914131401165,0.0115,0.0015,0
207,-0.00040309036075454,0.012,0.0015,0
