id,uxi,x,y,z
2048,-0.61492484041729,0,0,0.016
2049,-0.16942060753979,0.002,0,0.016
2050,0.80331513413593,0.002,0.002,0.016
2051,0.17638338449545,0,0.002,0.016
2052,0.50681537356754,0.004,0,0.016
2053,1.4541285495669,0.004,0.002,0.016
2054,1.263848553055,0.006,0,0.016
2055,2.0819158871917,0.006,0.002,0.016
2056,1.9851956508619,0.008,0,0.016
2057,2.6700319768975,0.008,0.002,0.016
2058,2.6284785787199,0.01,0,0.016
2059,3.1319428971462,0.01,0.002,0.016
2060,3.0788735484423,0.012,0,0.016
2061,3.476986030324,0.012,0.002,0.016
2062,3.3110043185402,0.014,0,0.016
2063,3.6305596737257,0.014,0.002,0.016
2064,3.2678592190286,0.016,0,0.016
2065,3.6047699799844,0.016,0.002,0.016
2066,2.961847903981,0.018,0,0.016
2067,3.3927360802269,0.018,0.002,0.016
2068,2.448269142204,0.02,0,0.016
2069,2.9974098868343,0.02,0.002,0.016
2070,1.7695404879287,0.022,0,0.016
2071,2.4881418612092,0.022,0.002,0.016
2072,1.0417505968914,0.024,0,0.016
2073,1.8663084632095,0.024,0.002,0.016
2074,0.31295660886353,0.026,0,0.016
2075,1.2215487478469,0.026,0.002,0.016
2076,-0.30776471453046,0.028,0,0.016
2077,0.57661221349477,0.028,0.002,0.016
2078,-0.68627058810632,0.03,0,0.016
2079,-0.0099855130188586,0.03,0.002,0.016
2080,1.4763674018089,0.002,0.004,0.016
2081,0.77533906239593,0,0.004,0.016
2082,2.0592027608348,0.004,0.004,0.016
2083,2.5675647312762,0.006,0.004,0.016
2084,2.9715416858756,0.008,0.004,0.016
2085,3.3212990411362,0.01,0.004,0.016
2086,3.5378505567993,0.012,0.004,0.016
2087,3.6633135147586,0.014,0.004,0.016
2088,3.6411442033031,0.016,0.004,0.016
2089,3.4772710136037,0.018,0.004,0.016
2090,3.2096764409041,0.02,0.004,0.016
2091,2.8071861011221,0.022,0.004,0.016
2092,2.3479367205912,0.024,0.004,0.016
2093,1.7975554679376,0.026,0.004,0.016
2094,1.1998483145096,0.028,0.004,0.016
2095,0.53785831905933,0.03,0.004,0.016
2096,1.8284843243766,0.002,0.006,0.016
2097,1.1768402924346,0,0.006,0.016
2098,2.2771157097433,0.004,0.006,0.016
2099,2.5774863924274,0.006,0.006,0.016
2100,2.8176357452562,0.008,0.006,0.016
2101,2.9501165992391,0.01,0.006,0.016
2102,3.0852799713922,0.012,0.006,0.016
2103,3.1229776222327,0.014,0.006,0.016
2104,3.1146434400409,0.016,0.006,0.016
2105,3.0457334829613,0.018,0.006,0.016
2106,2.8736098530766,0.02,0.006,0.016
2107,2.6840321950571,0.022,0.006,0.016
2108,2.3801086022123,0.024,0.006,0.016
2109,2.0184308657748,0.026,0.006,0.016
2110,1.5447055879568,0.028,0.006,0.016
2111,0.91973206096269,0.03,0.006,0.016
2112,1.8158318757629,0.002,0.008,0.016
2113,1.318260638013,0,0.008,0.016
2114,2.0256517014772,0.004,0.008,0.016
2115,2.0982770957659,0.006,0.008,0.016
2116,2.0753465389767,0.008,0.008,0.016
2117,2.0652069622027,0.01,0.008,0.016
2118,1.9264916832025,0.012,0.008,0.016
2119,1.7909105267085,0.014,0.008,0.016
2120,1.7896468713738,0.016,0.008,0.016
2121,1.9225509640762,0.018,0.008,0.016
2122,2.0412454396247,0.02,0.008,0.016
2123,2.009863012778,0.022,0.008,0.016
2124,1.9610282935147,0.024,0.008,0.016
2125,1.8210515973212,0.026,0.008,0.016
2126,1.5622401304538,0.028,0.008,0.016
2127,1.0798376866771,0.03,0.008,0.016
2128,1.4082645312924,0.002,0.01,0.016
2129,1.1564958230223,0,0.01,0.016
2130,1.3114924894579,0.004,0.01,0.016
2131,1.0764008392833,0.006,0.01,0.016
2132,0.88218555054701,0.008,0.01,0.016
2133,0.61770357335974,0.01,0.01,0.016
2134,0.4427728596992,0.012,0.01,0.016
2135,0.4234517497129,0.014,0.01,0.016
2136,0.43666079982037,0.016,0.01,0.016
2137,0.47880510817704,0.018,0.01,0.016
2138,0.66462972149054,0.02,0.01,0.016
2139,0.91204761668598,0.022,0.01,0.016
2140,1.0588383803281,0.024,0.01,0.016
2141,1.209188120692,0.026,0.01,0.016
2142,1.2464061805476,0.028,0.01,0.016
2143,0.98759586303231,0.03,0.01,0.016
2144,0.63445457627561,0.002,0.012,0.016
2145,0.70769806845447,0,0.012,0.016
2146,0.23665835056378,0.004,0.012,0.016
2147,-0.34728657490247,0.006,0.012,0.016
2148,-0.79385520071631,0.008,0.012,0.016
2149,-0.95302960086047,0.01,0.012,0.016
2150,-1.0848244038777,0.012,0.012,0.016
2151,-1.1331121106405,0.014,0.012,0.016
2152,-1.1020003358596,0.016,0.012,0.016
2153,-0.99696725293268,0.018,0.012,0.016
2154,-0.81943909832208,0.02,0.012,0.016
2155,-0.63010458196178,0.022,0.012,0.016
2156,-0.21491602312574,0.024,0.012,0.016
2157,0.30344259788555,0.026,0.012,0.016
2158,0.62521839297375,0.028,0.012,0.016
2159,0.67525632408211,0.03,0.012,0.016
2160,-0.40219809742968,0.002,0.014,0.016
2161,-0.0064656925700936,0,0.014,0.016
2162,-1.0881854557014,0.004,0.014,0.016
2163,-1.8599491304392,0.006,0.014,0.016
2164,-2.2669733808115,0.008,0.014,0.016
2165,-2.5447445499128,0.01,0.014,0.016
2166,-2.746574388479,0.012,0.014,0.016
2167,-2.7868001051906,0.014,0.014,0.016
2168,-2.7347165422203,0.016,0.014,0.016
2169,-2.5917921887335,0.018,0.014,0.016
2170,-2.3176891555798,0.02,0.014,0.016
2171,-1.9862506120864,0.022,0.014,0.016
2172,-1.5397807238503,0.024,0.014,0.016
2173,-0.80172236383232,0.026,0.014,0.016
2174,-0.16202768546532,0.028,0.014,0.016
2175,0.16859858344158,0.03,0.014,0.016
2176,-1.6166707909899,0.002,0.016,0.016
2177,-0.87543496260447,0,0.016,0.016
2178,-2.4510560463676,0.004,0.016,0.016
2179,-3.3352448530951,0.006,0.016,0.016
2180,-4.0343078755589,0.008,0.016,0.016
2181,-4.3030231712473,0.01,0.016,0.016
2182,-4.4502340972955,0.012,0.016,0.016
2183,-4.540255471803,0.014,0.016,0.016
2184,-4.4662807898978,0.016,0.016,0.016
2185,-4.2313411057434,0.018,0.016,0.016
2186,-3.9453420049274,0.02,0.016,0.016
2187,-3.5871009972958,0.022,0.016,0.016
2188,-2.8237715611478,0.024,0.016,0.016
2189,-1.8408148376924,0.026,0.016,0.016
2190,-1.0432024862142,0.028,0.016,0.016
2191,-0.40265017186788,0.03,0.016,0.016
2192,-2.8519298806305,0.002,0.018,0.016
2193,-1.8074229013922,0,0.018,0.016
2194,-3.8302634283488,0.004,0.018,0.016
2195,-4.6688943097933,0.006,0.018,0.016
